Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,image
Acer,Aspire A715-71G,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Dell,Precision 7720,Workstation,"17.3""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,https://via.placeholder.com/200
Lenovo,IdeaPad 310-15ABR,Notebook,"15.6""",Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,https://via.placeholder.com/200
Asus,ZenBook UX530UQ-PRO,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Asus,VivoBook S14,Notebook,"14.0""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,Rog GL702VS-GC095T,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Nvidia GeForce GTX 940M,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,https://via.placeholder.com/200
HP,EliteBook x360,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Lenovo,IdeaPad 720S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
MSI,GE63VR 7RF,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,https://via.placeholder.com/200
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,https://via.placeholder.com/200
HP,Spectre x360,2 in 1 Convertible,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Lenovo,ThinkPad 13,Notebook,"13.3""",1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,https://via.placeholder.com/200
HP,ProBook 640,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,TravelMate B,Notebook,"11.6""",1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,https://via.placeholder.com/200
HP,Elitebook 840,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,https://via.placeholder.com/200
Asus,ZenBook UX410UA-GV183T,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,ProBook 450,Notebook,"15.6""",IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,https://via.placeholder.com/200
Acer,Aspire 5,Notebook,"15.6""",1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,AMD Radeon RX 540,https://via.placeholder.com/200
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Acer,Aspire E5-575,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,VivoBook S15,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
HP,Elitebook 820,Ultrabook,"12.5""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
MSI,GL72M 7REX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Toshiba,Satellite Pro,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
HP,EliteBook 840,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Inspiron 7570,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
HP,Elitebook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Inspiron 7570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,AMD Radeon 530,https://via.placeholder.com/200
HP,ProBook 450,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,https://via.placeholder.com/200
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
HP,Stream 14-AX001nv,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,https://via.placeholder.com/200
Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Inspiron 5570,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
HP,Elitebook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
MSI,GP72MVR 7RFX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
HP,Zbook 15,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,https://via.placeholder.com/200
Toshiba,Tecra A50-C-21G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Inspiron 7577,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Dell,Inspiron 3567,Notebook,"15.6""",Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Latitude 7480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,Zenbook UX410UA-GV027T,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,Intel Core i5 7200U 2.5GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Nvidia GeForce 920MX ,https://via.placeholder.com/200
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,"15.6""",1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,https://via.placeholder.com/200
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R7 M445,https://via.placeholder.com/200
HP,Elitebook 1040,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,ZenBook Flip,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,https://via.placeholder.com/200
Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,128GB SSD,AMD Radeon R5,https://via.placeholder.com/200
Asus,Rog Strix,Gaming,"17.3""",IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,https://via.placeholder.com/200
Lenovo,IdeaPad 110-17ACL,Notebook,"17.3""",1600x900,AMD A8-Series 7410 2.2GHz,4GB,128GB SSD,AMD Radeon R5,https://via.placeholder.com/200
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,https://via.placeholder.com/200
Lenovo,Yoga 11e,Netbook,"11.6""",IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,128GB SSD,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Inspiron 3552,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.60GHz,4GB,500GB HDD,Intel HD Graphics 400,https://via.placeholder.com/200
Asus,VivoBook E403NA,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Acer,Aspire 7,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
HP,Omen 17-w212nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,ROG Strix,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Lenovo,IdeaPad 720S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Asus,Zenbook Flip,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Ideapad 510S-13IKB,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Precision 3510,Workstation,"15.6""",Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8GB,500GB HDD,AMD FirePro W5130M,https://via.placeholder.com/200
Dell,Precision 5520,Workstation,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8GB,256GB SSD,Nvidia Quadro M1200,https://via.placeholder.com/200
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,Rog GL753VD-GC042T,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Asus,Rog GL753VE-GC070T,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Acer,Aspire 5,Notebook,"15.6""",IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce MX130,https://via.placeholder.com/200
MSI,Leopard GP72M,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R7 M445,https://via.placeholder.com/200
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,"15.6""",Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon 520,https://via.placeholder.com/200
Lenovo,ThinkPad E580,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,https://via.placeholder.com/200
Lenovo,ThinkPad L470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Precision M5520,Workstation,"15.6""",4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,https://via.placeholder.com/200
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,https://via.placeholder.com/200
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Lenovo,ThinkPad E580,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 550,https://via.placeholder.com/200
Acer,Aspire 7,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
MSI,GE73VR 7RF,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Asus,Zenbook 3,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Toshiba,Portege Z30-C-16P,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Latitude 7480,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,512GB SSD,Intel HD Graphics,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Lenovo,Lenovo IdeaPad,Notebook,"11.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Lenovo,ThinkPad P51,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia Quadro M1200,https://via.placeholder.com/200
Lenovo,Thinkpad T470p,Ultrabook,"14.0""",IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GT 940MX,https://via.placeholder.com/200
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon 520,https://via.placeholder.com/200
Acer,Aspire R7,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,https://via.placeholder.com/200
Dell,Latitude 3380,Notebook,"13.3""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
HP,EliteBook 1040,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,ThinkPad E480,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,https://via.placeholder.com/200
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Chuwi,LapBook 12.3,Notebook,"12.3""",IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
HP,ProBook 650,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Intel HD Graphics 630,https://via.placeholder.com/200
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Dell,Latitude 5480,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,Omen 17-w207nv,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Mediacom,FlexBook Edge,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,https://via.placeholder.com/200
Samsung,Chromebook 3,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,https://via.placeholder.com/200
Lenovo,Thinkpad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320s-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Thinkpad T570,Workstation,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,512GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Lenovo,Thinkpad P51,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,512GB SSD,Nvidia Quadro M2200M,https://via.placeholder.com/200
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,https://via.placeholder.com/200
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,https://via.placeholder.com/200
